CountyCode,CountyName,PrecinctCode,PrecinctName,PollingLocationName,PollingLocationAddress,Status,Lat,Lng
2,AIKEN,19,Lynwood,Burnettown Municipal Bldg,"3187 Augusta Rd, Warrenville SC 29851",,,
2,AIKEN,20,Millbrook,Aiken Elementary School,"2050 Pine Log Rd, Aiken SC 29803",,,
2,AIKEN,21,Monetta,Monetta Community Center,"266 Academy St, Monetta SC 29105",,,
2,AIKEN,22,Montmorenci No. 22,Montmorenci First Bapt Ch,"44 Old Barnwell Rd, Aiken SC 29803",,,
2,AIKEN,23,New Ellenton,New Ellenton Community Center,"212 Pine Hill Ave, New Ellenton SC 29809",,,
2,AIKEN,24,New Holland,New Holland Fire Department,"2243 Old 96 Indian Trl, Batesburg SC 29006",,,
2,AIKEN,25,North Augusta No. 25,N A Community Center,"495 Brookside Ave, North Augusta SC 29841",,,
2,AIKEN,26,North Augusta No. 26,Fairview Presbyterian Church,"1101 Carolina Ave, North Augusta SC 29841",,,
2,AIKEN,27,North Augusta No. 27,N Augusta High School,"2000 Knobcone Ave, North Augusta SC 29841",,,
2,AIKEN,28,North Augusta No. 28,Hammond Hill Elem School,"901 W Woodlawn Ave, North Augusta SC 29841",,,
2,AIKEN,29,North Augusta No. 29,First Baptist Church,"602 Georgia Ave, North Augusta SC 29841",,,
2,AIKEN,30,Oak Grove,Oak Grove Baptist Church,"1721 Old 96 Indian Trl, Batesburg SC 29006",,,
2,AIKEN,31,Perry,Perry Town Hall,"1075 E Railroad Ave N, Perry SC 29137",,,
2,AIKEN,32,Salley,Old Crescent Voc School,"230 Pine St NW, Salley SC 29137",,,
2,AIKEN,33,Shaws Fork,Shaws Fork Baptist Church,"1085 Shaws Fork Rd, Aiken SC 29805",,,
2,AIKEN,34,Shiloh,J D Lever Elementary,"2404 Columbia Hwy N, Aiken SC 29805",,,
2,AIKEN,35,Six Points No. 35,USCA Business & Education Bldg. Temp,"427 Scholar Loop Bldg 122, Aiken SC 29801",,,
2,AIKEN,36,Tabernacle,Couchton Fire Subst No. 2,"4765 Wagener Rd, Wagener SC 29164",,,
2,AIKEN,37,Talatha,New Ellen. Middle Sch,"814 S Main St, New Ellenton SC 29809",,,
2,AIKEN,38,Vaucluse,1St   Bapt Ch Vaucluse,"2 Church St, Aiken SC 29801",,,
2,AIKEN,39,Wagener,Wagener Volunteer Fire Dept,"299 Park St NE, Wagener SC 29164",,,
2,AIKEN,40,Ward,Jerusalem Baptist Church,"4185 Columbia Hwy N., Ridge Spring SC 29129",,,
2,AIKEN,41,Warrenville,1St Bapt Ch Warrenville,"1012 Aiken Blvd, Warrenville SC 29851",,,
2,AIKEN,42,White Pond,White Pond Community Ctr.,"321 White Pond Rd, Williston SC 29853",,,
2,AIKEN,43,Windsor,Oakwood-Windsor Elementary School,"3773 Charleston Hwy, Aiken SC 29801",,,
2,AIKEN,44,Belvedere No. 44,Belv United Methodist Ch,"202 Rhomboid Pl, North Augusta SC 29841",,,
2,AIKEN,45,Misty Lakes,Mt. Transfiguration Temp,"350 Blanchard Rd, North Augusta SC 29841",,,
2,AIKEN,46,Six Points No. 46,Ctr. of Innovative Learning@ Pinecrest,"1050 Pinecrest Ave, Aiken SC 29801",,,
2,AIKEN,47,Aiken No. 47,Odell Weeks Ctr,"1700 Whiskey Rd, Aiken SC 29803",,,
2,AIKEN,48,Hammond,New Beginning Ministries,"317 Williston Rd, Beech Island SC 29842",,,
2,AIKEN,49,Willow Sprgs,Clearwater Elem Sch,"4552 Augusta Rd, Beech Island SC 29842",,,
2,AIKEN,50,Breezy Hill,Christian Heritage Church,"285 Ascauga Lake Rd, Graniteville SC 29829",,,
2,AIKEN,51,Midland Valley No. 51,Aiken County Career Center,"2455 Jefferson Davis Hwy, Warrenville SC 29851",,,
2,AIKEN,52,Levels No. 52,Kennedy Middle School,"274 E Pine Log Rd, Aiken SC 29803",,,
2,AIKEN,53,Hollow Creek,Mercy,"2700 Whiskey Rd, Aiken SC 29803",,,
2,AIKEN,54,North Augusta No. 54,N Augusta Middle School,"725 Old Edgefield Rd, North Augusta SC 29841",,,
2,AIKEN,55,North Augusta No. 55,Holy Trinity Lutheran Ch,"1002 Carolina Ave, North Augusta SC 29841",,,
2,AIKEN,56,Couchton,Couchton Baptist Church -Temporary,"3171 Wagener Rd, Aiken SC 29801",,,
2,AIKEN,57,Redds Branch,E. Aiken School Of the Arts,"223 Old Wagener Rd, Aiken SC 29801",,,
2,AIKEN,58,Fox Creek No. 58,N. Aug. Public Safety,"501 W Five Notch Rd, North Augusta SC 29860",,,
2,AIKEN,59,Pine Forest,Pine Forest Bpt Ch Annex,"2829 Pine Log Rd, Warrenville SC 29851",,,
2,AIKEN,60,Gem Lakes No. 60,Warrenville Elementary,"569 Howlandville Rd, Warrenville SC 29851",,,
2,AIKEN,61,Silver Bluff,Silver Bluff High Sch.,"64 Desoto Dr, Aiken SC 29803",,,
2,AIKEN,62,Belvedere No. 62,1St Baptist Ch Belvedere,"421 Edgefield Rd, North Augusta SC 29841",,,
2,AIKEN,63,Ascauga Lake,Mt Transfiguration Bap Ch,"350 Blanchard Rd, North Augusta SC 29841",,,
2,AIKEN,64,Cedar Creek No. 64,Cedar Creek Church,"3001 Banks Mill Rd SE, Aiken SC 29803",,,
2,AIKEN,65,Sleepy Hollow No. 65,St Aug Of Cant Epis Ch,"1630 Silver Bluff Rd, Aiken SC 29803",,,
2,AIKEN,66,Hitchcock No.66,St Paul Lutheran Church,"961 Trail Ridge Rd, Aiken SC 29803",,,
2,AIKEN,67,North Augusta No.67,Riverview Pk Act Bldg,"100 Riverview Park Dr, North Augusta SC 29841",,,
2,AIKEN,68,North Augusta No. 68,Mossy Creek Elem School,"421 W Five Notch Rd, North Augusta SC 29841",,,
2,AIKEN,69,Anderson Pond No. 69,Harbor Chase,"1385 Silver Bluff Rd, Aiken SC 29803",,,
2,AIKEN,70,Sandstone No.70,Columbus Club,"1003 Spaulding Dr, Aiken SC 29803",,,
2,AIKEN,71,Midland Valley No. 71,Aiken Technical College,"2276 Jefferson Davis Hwy Rm 1300, Graniteville SC 29829",,,
2,AIKEN,72,Levels No.72,Couchton Baptist Church -Temporary,"3171 Wagener Rd, Aiken SC 29801",,,
2,AIKEN,73,Fox Creek No. 73,North Augusta Public Safety Temp,"501 W Five Notch Rd, North Augusta SC 29860",,,
2,AIKEN,74,Belvedere No. 74,1St Baptist Ch Belvedere,"421 Edgefield Rd, North Augusta SC 29841",,,
2,AIKEN,75,South Aiken No. 75,Mt Anna Baptist Church - Temporary,"2612 Banks Mill Rd, Aiken SC 29803",,,
2,AIKEN,76,South Aiken No. 76,Living Hope,"2550 Old Dominion Rd, Aiken SC 29803",,,
2,AIKEN,77,Gem Lakes No. 77,Aiken Elementary School,"2050 Pine Log Rd, Aiken SC 29803",,,
2,AIKEN,78,Montmorenci No. 78,Montmorenci First Bapt Ch,"44 Old Barnwell Rd, Aiken SC 29803",,,
2,AIKEN,79,Sandstone No. 79,Columbus Club,"1003 Spaulding Dr, Aiken SC 29803",,,
2,AIKEN,80,North Augusta No. 80,Fairview Presbyterian Church,"1101 Carolina Ave, North Augusta SC 29841",,,
2,AIKEN,81,Hammond No. 81,New Beginning Ministries,"317 Williston Rd, Beech Island SC 29842",,,
2,AIKEN,82,Windsor No. 82,Oakwood-Windsor Elementary School,"3773 Charleston Hwy, Aiken SC 29801",,,
2,AIKEN,83,Levels No 83,Kennedy Middle School,"274 E Pine Log Rd, Aiken SC 29803",,,
2,AIKEN,84,Ascauga Lake No. 84,Friendship Baptist Church,"124 Clearmont Dr, North Augusta SC 29841",,,
2,AIKEN,999,Barrier Free,Reg And Elections Office,"1930 University Pkwy Ste 1200, Aiken SC 29801",,,
3,ALLENDALE,1,Allendale No. 1,Brandt Building,"398 Barnwell Hwy, Allendale SC 29810",,,
3,ALLENDALE,2,Allendale No. 2,Allendale Community Center,"212 Flat St E, Allendale SC 29810",,,
3,ALLENDALE,3,Fairfax No. 1,Fairfax Fire Dept,"732 Charleston Ave, Fairfax SC 29827",,,
3,ALLENDALE,4,Fairfax No. 2,Mini Mall,"132 Sumter Ave S, Fairfax SC 29827",,,
3,ALLENDALE,5,Martin,Martin Fire Department,"175 Chert Quarry Rd, Martin SC 29836",,,
3,ALLENDALE,6,Sycamore,Sycamore Town Hall,"226 E Main St, Sycamore SC 29846",,,
3,ALLENDALE,7,Ulmer,Ulmer Town Hall,"148 Ulmer Rd, Ulmer SC 29849",,,
3,ALLENDALE,8,Woods,Allendale Adult Education School,"1843 Main St S, Allendale SC 29810",,,
3,ALLENDALE,999,Barrier Free,Voter Reg.& Elections Off,"158 McNair St, Allendale SC 29810",,,
4,ANDERSON,9,Appleton-Equinox,Taylor Mem Church Gym,"711 Glenn St, Anderson SC 29625",,,
4,ANDERSON,10,Barker's Creek - McAdams,Barkers Creek Bapt Church,"3207 Hwy 252, Honea Path SC 29654",,,
4,ANDERSON,11,Belton,First Baptist Church,"105 Brown Ave, Belton SC 29627",,,
4,ANDERSON,12,Broadview,Johnson-Brdview Comm Ctr,"114 Melody Trl, Anderson SC 29621",,,
4,ANDERSON,13,Bishop's Branch,Refuge Baptist Church,"219 Refuge Church Rd, Central SC 29630",,,
4,ANDERSON,15,Bowling Green,Whitefield Fire Station,"4000 Hwy 29N, Belton SC 29627",,,
4,ANDERSON,16,Broadway,Blue Ridge Baptist Church,"1340 Blue Ridge Ave, Belton SC 29627",,,
4,ANDERSON,17,Brushy Creek,Wren Middle School,"1010 Wren School Rd, Piedmont SC 29673",,,
4,ANDERSON,18,Cedar Grove,Cedar Grove Elem School,"107 Melvin Ln, Williamston SC 29697",,,
4,ANDERSON,19,Centerville Station A,Centerville Elem School,"1529 Whitehall Rd, Anderson SC 29625",,,
4,ANDERSON,20,Chiquola Mill,Honea Path Elementary Sch,"806 E Greer St, Honea Path SC 29654",,,
4,ANDERSON,21,Concrete,Concrete Primary School,"535 Powdersville Main, Easley SC 29642",,,
4,ANDERSON,23,Craytonville,Craytonville Fire Station,"1118 Trail Road, Belton SC 29627",,,
4,ANDERSON,24,Denver-Sandy Springs,Sandy Sprgs Fire Station,"740 Blackman Rd, Pendleton SC 29670",,,
4,ANDERSON,25,Edgewood Station A,The Carpenter's Church,"1610 Pearman Dairy Rd, Anderson SC 29625",,,
4,ANDERSON,27,Five Forks,Mountain Spring Bapt Church East Campus,"1109 Mountain Springs Rd, Anderson SC 29621",,,
4,ANDERSON,28,Flat Rock,Grace Baptist Church,"6707 Highway 81 S, Starr SC 29684",,,
4,ANDERSON,29,Fork No. 1,Oakdale Baptist Church,"6724 Hwy 24, Townville SC 29689",,,
4,ANDERSON,30,Fork No. 2,Double Sprgs Fire Station,"2601 Old Dobbins Bridge Rd, Townville SC 29689",,,
4,ANDERSON,31,Friendship,Friendship Fire Station,"1938 Abercombie Rd, Honea Path SC 29654",,,
4,ANDERSON,32,Gluck Mill,Homeland Park Elem School,"3519 Wilmont St, Anderson SC 29624",,,
4,ANDERSON,33,Green Pond Station A,New Prospect Ch Fellow Bl,"2503 Whitehall Rd, Anderson SC 29625",,,
4,ANDERSON,35,Hall,Flat Rock-Bowen Fire Sta,"3135 Airline Rd, Anderson SC 29624",,,
4,ANDERSON,36,Hammond School,Midway Elementary School,"1221 Harriett Cir, Anderson SC 29621",,,
4,ANDERSON,37,High Point,Belton-Honea Path Hi Sch,"11000 Belton Honea Path Hwy, Honea Path SC 29654",,,
4,ANDERSON,38,Homeland Park,Homeland Park Elem School,"3519 Wilmont St, Anderson SC 29624",,,
4,ANDERSON,39,Honea Path,Honea Path Middle School,"107 Brock Ave, Honea Path SC 29654",,,
4,ANDERSON,40,Hopewell,T.L. Hanna High,"2600 Highway 81 N, Anderson SC 29621",,,
4,ANDERSON,41,Iva,Iva Fire Station,"9711 Hwy 81 S, Iva SC 29655",,,
4,ANDERSON,42,Jackson Mill,Iva Civic Center,"206 W Church St, Iva SC 29655",,,
4,ANDERSON,43,LaFrance,La France Church of God,"273 Old Anderson Rd, Pendleton SC 29670",,,
4,ANDERSON,45,Melton,Mount Able Baptist Church,"130 Mt. Able Church Rd, Pendleton SC 29670",,,
4,ANDERSON,47,Mountain Creek,Gethsemane Baptist Temple,"6116 Highway 81 S, Starr SC 29684",,,
4,ANDERSON,49,Neal's Creek,Welfare Baptist Church,"2106 Bolt Dr, Belton SC 29627",,,
4,ANDERSON,50,North Pointe,North Pointe Elementary School,"3325 N Highway 81, Anderson SC 29621",,,
4,ANDERSON,51,Pelzer,ALIVE Wesleyan Church,"2 Wesleyan Dr, Pelzer SC 29669",,,
4,ANDERSON,53,Pendleton,Pendleton Elementary Sch,"902 E. Queen St., Pendleton SC 29670",,,
4,ANDERSON,54,Piedmont,Piedmont Wesleyan Church,"506 Anderson St, Piedmont SC 29673",,,
4,ANDERSON,55,Piercetown,The Club at Brookstone,"100 River Club Dr, Anderson SC 29621",,,
4,ANDERSON,57,Rock Mill,Williford Fire Station,"3738 Hwy 187 S, Anderson SC 29626",,,
4,ANDERSON,58,Rock Spring,Rock Spring Fire Station,"135 Hwy 413, Belton SC 29627",,,
4,ANDERSON,61,Shirley's Store,Ebenezer Fire Station,"1416 Due West Hwy, Anderson SC 29621",,,
4,ANDERSON,62,Simpsonville,Oak Grove Baptist Church Fellowship Hall,"802 Old River Rd, Piedmont SC 29673",,,
4,ANDERSON,63,Starr,Starr Fire Sta,"7715 Hwy 81 S, Starr SC 29684",,,
4,ANDERSON,64,Three and Twenty,Three & Twenty Fire Sta,"1301 Three & Twenty Rd, Easley SC 29642",,,
4,ANDERSON,65,Toney Creek,Shady Grove Bpt Ch Soc Hl,"1201 Shady Grove Rd, Belton SC 29627",,,
4,ANDERSON,66,Townville,Townville Baptist Church,"8816 Hwy 24, Townville SC 29689",,,
4,ANDERSON,67,Town Creek,Montessori School of Anderson,"280 Sam McGee Rd, Anderson SC 29621",,,
4,ANDERSON,68,West Pelzer,West Pelzer Fire Dept,"101 Main St, Pelzer SC 29669",,,
4,ANDERSON,69,West Savannah,Starr-Iva Middle School,"1034 Rainey Rd, Starr SC 29684",,,
4,ANDERSON,70,White Plains,White Plains Comm Center,"7431 Midway Rd, Pelzer SC 29669",,,
4,ANDERSON,71,Williamston,Palmetto Middle School,"803 N Hamilton St, Williamston SC 29697",,,
4,ANDERSON,72,Williamston Mill,Calvary Baptist Church,"10 S Academy St, Williamston SC 29697",,,
4,ANDERSON,73,Wright's School,Wright Elementary School,"1136 Wright School Rd, Belton SC 29627",,,
4,ANDERSON,74,Anderson 1/1,Whitehall Elem School,"702 Whitehall Rd, Anderson SC 29625",,,
4,ANDERSON,75,Anderson 1/2,Concord Elementary School,"2701 Calrossie Rd, Anderson SC 29621",,,
4,ANDERSON,76,Anderson 2/1,Holy Trinity Lutheran Church,"209 Broad St, Anderson SC 29621",,,
4,ANDERSON,77,Anderson 2/2,Calhoun Academy of the Arts,"1520 E Calhoun St, Anderson SC 29621",,,
4,ANDERSON,78,Anderson 3/1,Anderson County Library,"300 N McDuffie St, Anderson SC 29621",,,
4,ANDERSON,79,Anderson 3/2,Nevitt Forest Comm School,"1401 Bolt Dr, Anderson SC 29621",,,
4,ANDERSON,80,Anderson 4/1,Anderson V Career Campus,"1225 S McDuffie St, Anderson SC 29624",,,
4,ANDERSON,81,Anderson 4/2,Nevitt Forest Comm School,"1401 Bolt Dr, Anderson SC 29621",,,
4,ANDERSON,83,Anderson 5/B,Southwood Academy of the Arts,"1110 Southwood St, Anderson SC 29624",,,
4,ANDERSON,84,Anderson 6/1,Trinity United Methodist,"1809 N Main St, Anderson SC 29621",,,
4,ANDERSON,85,Anderson 6/2,Southwood Academy of the Arts,"1110 Southwood St, Anderson SC 29624",,,
4,ANDERSON,86,Varennes,Varennes Academy Of Comm,"1820 Hwy 29 S, Anderson SC 29624",,,
4,ANDERSON,87,Lakeside,New Prospect Elem School,"126 New Prospect Church Rd, Anderson SC 29625",,,
4,ANDERSON,91,Centerville Station B,Centerville Elem School,"1529 Whitehall Rd, Anderson SC 29625",,,
4,ANDERSON,92,Edgewood Station B,Hope Fellowship,"213 Brown Rd, Anderson SC 29621",,,
4,ANDERSON,93,Cox's Creek,Abiding Savior Lutheran,"1905 E. Greenville St, Anderson SC 29621",,,
4,ANDERSON,94,Mt. Airy,Grace Church,"9205 Highway 81 N, Piedmont SC 29673",,,
4,ANDERSON,111,Belton Annex,City of Belton Comm & Recreation Center,"700 Blue Ridge Ave, Belton SC 29627",,,
4,ANDERSON,121,Powdersville,Powdersville Middle Sch,"135 Hood Road, Greenville SC 29611",,,
4,ANDERSON,132,Glenview,Glenview Middle School,"2575 Old Williamston Rd, Anderson SC 29621",,,
4,ANDERSON,136,Hammond Annex,Anderson Area YMCA,"201 E Reed Rd, Anderson SC 29621",,,
4,ANDERSON,157,Center Rock,McLees Academy of Leadership,"4900 Dobbins Bridge Rd, Anderson SC 29626",,,
4,ANDERSON,164,Hunt Meadows,Hunt Meadows Elem School,"420 Hunt Road, Easley SC 29642",,,
4,ANDERSON,165,South Fant,South Fant School of Early Education,"1700 S Fant St, Anderson SC 29624",,,
4,ANDERSON,999,Barrier Free,Anderson Cty Reg & Elections Office,"301 N Main St, Anderson SC 29621",,,
5,BAMBERG,1,Colston,Colston Fire Dept,"6785 Colston Rd, Bamberg SC 29003",,,
5,BAMBERG,2,Edisto,Edisto Fire Station,"4532 Edisto River Rd, Branchville SC 29432",,,
5,BAMBERG,3,Ehrhardt,Ehrhardt Town Hall,"13704 Broxton Bridge Rd, Ehrhardt SC 29081",,,
5,BAMBERG,4,East Denmark,Brooker Center,"19 Maple Ave, Denmark SC 29042",,,
5,BAMBERG,5,Govan,Govan Fire Department,"20920 Ehrhardt Rd, Olar SC 29843",,,
5,BAMBERG,6,Hightower's Mill,Old Train Depot,"18748 Heritage Hwy, Denmark SC 29042",,,
5,BAMBERG,7,Hunter's Chapel,Hunters Chapel Fire Dept,"6313 Farrells Rd, Branchville SC 29432",,,
5,BAMBERG,8,Kearse,Brandt's Office,"8804 Low Country Hwy, Ehrhardt SC 29081",,,
5,BAMBERG,9,Little Swamp,Little Swamp Cmt Ctr,"16589 Hunters Chapel Rd, Smoaks SC 29481",,,
5,BAMBERG,10,Olar,Olar Town Hall,"14978 Low Country Hwy, Olar SC 29843",,,
5,BAMBERG,11,South Bamberg,Kearse Agriculture Bldg,"847 Calhoun St, Bamberg SC 29003",,,
5,BAMBERG,12,West Denmark,Old Train Depot,"18748 Heritage Hwy, Denmark SC 29042",,,
5,BAMBERG,13,North Bamberg,Bamberg City Civic Center,"2477 Main Hwy, Bamberg SC 29003",,,
5,BAMBERG,999,Barrier Free,Voter Registration Office,"1234 North St, Bamberg SC 29003",,,
6,BARNWELL,1,Barnwell 1,Barnwell Health Dept./DHEC,"11015 Ellenton St, Barnwell SC 29812",,,
6,BARNWELL,2,Barnwell 2,Barnwell Health Dept./DHEC,"11015 Ellenton St, Barnwell SC 29812",,,
6,BARNWELL,3,Barnwell 3,Barnwell Health Dept./DHEC,"11015 Ellenton St, Barnwell SC 29812",,,
6,BARNWELL,4,Barnwell 4,Barnwell Health Dept./DHEC,"11015 Ellenton St, Barnwell SC 29812",,,
6,BARNWELL,5,Blackville 1,Blackvi Community Center,"19464 Solomon Blatt Ave, Blackville SC 29817",,,
6,BARNWELL,6,Blackville 2,Blackvi Community Center,"19464 Solomon Blatt Ave, Blackville SC 29817",,,
6,BARNWELL,7,Elko,Elko Fire Dept,"10077 US Highway 78, Elko SC 29826",,,
6,BARNWELL,8,Friendship,Friendship Fire Station,"3391 Green Branch Road, Barnwell SC 29812",,,
6,BARNWELL,9,Kline,Kline Town Hall,"1031 Kings Ave, Barnwell SC 29812",,,
6,BARNWELL,10,Healing Springs,Blackvi Community Center,"19464 Solomon Blatt Ave, Blackville SC 29817",,,
6,BARNWELL,11,Hilda,Hilda Town Hall,"35 Railroad Avenue, Barnwell SC 29812",,,
6,BARNWELL,12,Snelling,Snelling Town Hall,"71 Morris St, Barnwell SC 29812",,,
6,BARNWELL,13,Williston 1,Williston Town Hall,"13112 Main Street, Williston SC 29853",,,
6,BARNWELL,14,Williston 2,Williston Town Hall,"13112 Main Street, Williston SC 29853",,,
6,BARNWELL,15,Williston 3,Williston Town Hall,"13112 Main Street, Williston SC 29853",,,
6,BARNWELL,999,Barrier Free,Voter Registration Office,"367 Fuldner Rd, Barnwell SC 29812",,,
7,BEAUFORT,101,Beaufort 1,Charles L Brown Activity Center,"1001 Hamar St, Beaufort SC 29902",,,
7,BEAUFORT,102,Beaufort 2,Charles L Brown Activity Center,"1001 Hamar St, Beaufort SC 29902",,,
7,BEAUFORT,103,Beaufort 3,Charles L Brown Activity Center,"1001 Hamar St, Beaufort SC 29902",,,
7,BEAUFORT,110,Burton 1A,Burton Wells Recreation Center,"1 Middleton Rec Dr, Beaufort SC 29906",,,
7,BEAUFORT,111,Burton 1B,Robert Smalls International Academy,"43 W K Alston Dr, Beaufort SC 29906",,,
7,BEAUFORT,112,Burton 1C,Shanklin Elementary School,"121 Morrall Dr, Beaufort SC 29906",,,
7,BEAUFORT,113,Burton 2A,Community Bible Church,"638 Parris Island Gtwy, Beaufort SC 29906",,,
7,BEAUFORT,114,Burton 2B,Community Bible Church,"638 Parris Island Gtwy, Beaufort SC 29906",,,
7,BEAUFORT,115,Burton 2C,Love House Ministries,"423 Parris Island Gtwy, Beaufort SC 29906",,,
7,BEAUFORT,116,Burton 3,Robert Smalls International Academy,"43 W K Alston Dr, Beaufort SC 29906",,,
7,BEAUFORT,120,Chechessee 1,Thomas C. Barnwell Administrative Bldg,"721 Okatie Hwy, Okatie SC 29909",,,
7,BEAUFORT,121,Chechessee 2,Thomas C. Barnwell Administrative Bldg,"721 Okatie Hwy, Okatie SC 29909",,,
7,BEAUFORT,130,Ladys Island 1A,Lady's Island Middle School,"30 Cougar Dr, Beaufort SC 29907",,,
7,BEAUFORT,131,Ladys Island 1B,Lady's Island Elementary School,"73 Chowan Creek Bluff Rd, Beaufort SC 29907",,,
7,BEAUFORT,132,Ladys Island 2A,Coosa Elementary School,"45 Middle Rd, Beaufort SC 29907",,,
7,BEAUFORT,133,Ladys Island 2B,David Smith Community Center,"140 Coosaw River Dr, Beaufort SC 29907",,,
7,BEAUFORT,134,Ladys Island 3A,Tidal Creek Fellowship,"290 Brickyard Point Rd S, Beaufort SC 29907",,,
7,BEAUFORT,135,Ladys Island 3B,Lady's Island Airport Bldg,"39 Airport Cir, Beaufort SC 29907",,,
7,BEAUFORT,140,Mossy Oaks 1A,Cornerstone Christian Church,"2301 First Blvd, Beaufort SC 29902",,,
7,BEAUFORT,141,Mossy Oaks 1B,Beaufort Middle School,"2501 Mossy Oaks Rd, Beaufort SC 29902",,,
7,BEAUFORT,142,Mossy Oaks 2,Mossy Oaks Elementary School,"2510 Mossy Oaks Rd, Beaufort SC 29902",,,
7,BEAUFORT,150,Port Royal 1,Port Royal Town Hall,"700 Paris Ave, Port Royal SC 29935",,,
7,BEAUFORT,151,Port Royal 2,Port Royal Town Hall,"700 Paris Ave, Port Royal SC 29935",,,
7,BEAUFORT,160,Dale Lobeco,Davis Early Childhood Center,"354 Keans Neck Rd, Seabrook SC 29940",,,
7,BEAUFORT,161,Seabrook 1,Beaufort County Public Works,"120 Shanklin Rd, Beaufort SC 29906",,,
7,BEAUFORT,162,Seabrook 2,Whale Branch Middle School,"2009 Trask Pkwy, Seabrook SC 29940",,,
7,BEAUFORT,163,Seabrook 3,Grays Hill Community Center,"45 Bruce K Smalls Blvd, Beaufort SC 29906",,,
7,BEAUFORT,170,Sheldon 1,Elijah Washington Medical Center,"211 Paige Point Rd, Sheldon SC 29941",,,
7,BEAUFORT,171,Sheldon 2,Booker T Washington Community Center,"182 Booker T Washington Cir, Yemassee SC 29945",,,
7,BEAUFORT,179,Burton 1D,Shanklin Elementary School,"121 Morrall Dr, Beaufort SC 29906",,,
