County Code, County Name, Precinct Code, Precinct Name, Polling Location, Polling Location Address,Overflow,
4,ANDERSON,9,Appleton-Equinox,Taylor Mem Church Gym,711 Glenn St Anderson  SC 29625,,
4,ANDERSON,10,Barker's Creek - McAdams,Barkers Creek Bapt Church,3207 Hwy 252 Honea Path  SC 29654,,
4,ANDERSON,999,Barrier Free,Anderson Cty Reg & Elections Office,301 N Main St Anderson  SC 29621,,
4,ANDERSON,11,Belton,First Baptist Church,105 Brown Ave Belton  SC 29627,,
4,ANDERSON,111,Belton Annex,City of Belton Comm & Recreation Center,700 Blue Ridge Ave Belton  SC 29627,,
4,ANDERSON,13,Bishop's Branch,Refuge Baptist Church,219 Refuge Church Rd Central  SC 29630,,
4,ANDERSON,15,Bowling Green,Whitefield Fire Station,4000 Hwy 29N Belton  SC 29627,,
4,ANDERSON,12,Broadview,Broadway Lake Community Center,1625 Broadway Lake Rd Anderson  SC 29621,,
4,ANDERSON,16,Broadway,Blue Ridge Baptist Church,1340 Blue Ridge Ave Belton  SC 29627,,
4,ANDERSON,17,Brushy Creek,Wren Middle School,1010 Wren School Rd Piedmont  SC 29673,,
4,ANDERSON,18,Cedar Grove,Cedar Grove Elem School,107 Melvin Ln Williamston  SC 29697,,
4,ANDERSON,157,Center Rock,McLees Academy of Leadership,4900 Dobbins Bridge Rd Anderson  SC 29626,,
4,ANDERSON,19,Centerville Station A,Centerville Elem School A,1529 Whitehall Rd Anderson  SC 29625,,
4,ANDERSON,91,Centerville Station B,Centerville Elem School B,1529 Whitehall Rd Anderson  SC 29625,,
4,ANDERSON,20,Chiquola Mill,Honea Path Elementary Sch,806 E Greer St Honea Path  SC 29654,,
4,ANDERSON,21,Concrete,Concrete Primary School,535 Powdersville Main Easley  SC 29642,,
4,ANDERSON,93,Cox's Creek,Abiding Savior Lutheran,1905 E. Greenville St Anderson  SC 29621,,
4,ANDERSON,23,Craytonville,Craytonville Fire Station,1118 Trail Road Belton  SC 29627,,
4,ANDERSON,24,Denver-Sandy Springs,Sandy Sprgs Fire Station,740 Blackman Rd Pendleton  SC 29670,,
4,ANDERSON,25,Edgewood Station A,The Carpenter's Church,1610 Pearman Dairy Rd Anderson  SC 29625,,
4,ANDERSON,92,Edgewood Station B,Anderson Sports & Entertainment Center,3027 Martin Luther King Jr Blvd Anderson  SC 29625,,
4,ANDERSON,27,Five Forks,Mountain Spring Bapt Church East Campus,1109 Mountain Springs Rd Anderson  SC 29621,,
4,ANDERSON,28,Flat Rock,Grace Baptist Church,6707 Highway 81 S Starr  SC 29684,,
4,ANDERSON,29,Fork No. 1,Oakdale Baptist Church,6724 Hwy 24 Townville  SC 29689,,
4,ANDERSON,30,Fork No. 2,Double Sprgs Fire Station,2601 Old Dobbins Bridge Rd Townville  SC 29689,,
4,ANDERSON,31,Friendship,Friendship Fire Station,1938 Abercombie Rd Honea Path  SC 29654,,
4,ANDERSON,132,Glenview,Glenview Middle School,2575 Old Williamston Rd Anderson  SC 29621,,
4,ANDERSON,32,Gluck Mill,Homeland Park Elem School A,3519 Wilmont St Anderson  SC 29624,,
4,ANDERSON,33,Green Pond Station A,New Prospect Ch Fellow Bl,2503 Whitehall Rd Anderson  SC 29625,,
4,ANDERSON,35,Hall,Flat Rock-Bowen Fire Sta,3135 Airline Rd Anderson  SC 29624,,
4,ANDERSON,136,Hammond Annex,Anderson Area YMCA,201 E Reed Rd Anderson  SC 29621,,
4,ANDERSON,36,Hammond School,Midway Elementary School,1221 Harriett Cir Anderson  SC 29621,,
4,ANDERSON,37,High Point,Belton-Honea Path Hi Sch,11000 Belton Honea Path Hwy Honea Path  SC 29654,,
4,ANDERSON,38,Homeland Park,Homeland Park Elem School B,3519 Wilmont St Anderson  SC 29624,,
4,ANDERSON,39,Honea Path,Honea Path Middle School,107 Brock Ave Honea Path  SC 29654,,
4,ANDERSON,40,Hopewell,T.L. Hanna High A,2600 Highway 81 N Anderson  SC 29621,,
4,ANDERSON,164,Hunt Meadows,Hunt Meadows Elem School,420 Hunt Road Easley  SC 29642,,
4,ANDERSON,41,Iva,Iva Fire Station,9711 Hwy 81 S Iva  SC 29655,,
4,ANDERSON,42,Jackson Mill,Iva Civic Center,206 W Church St Iva  SC 29655,,
4,ANDERSON,43,LaFrance,La France Church of God,273 Old Anderson Rd Pendleton  SC 29670,,
4,ANDERSON,87,Lakeside,New Prospect Elem School,126 New Prospect Church Rd Anderson  SC 29625,,
4,ANDERSON,45,Melton,Mount Able Baptist Church,130 Mt. Able Church Rd Pendleton  SC 29670,,
4,ANDERSON,46,Mount Tabor,Zion United Methodist Ch,5708 Hwy 187 Anderson  SC 29625,,
4,ANDERSON,47,Mountain Creek,Starr Iva Water Company,104 Roy Arnold Rd Starr  SC 29684,,
4,ANDERSON,94,Mt. Airy,Grace Church,9205 Highway 81 N Piedmont  SC 29673,,
4,ANDERSON,49,Neal's Creek,Welfare Baptist Church,2106 Bolt Dr Belton  SC 29627,,
4,ANDERSON,50,North Pointe,North Pointe Elementary School,3325 N Highway 81 Anderson  SC 29621,,
4,ANDERSON,51,Pelzer,ALIVE Wesleyan Church,2 Wesleyan Dr Pelzer  SC 29669,,
4,ANDERSON,53,Pendleton,Pendleton Elementary Sch,902 E. Queen St. Pendleton  SC 29670,,
4,ANDERSON,54,Piedmont,Piedmont Wesleyan Church,506 Anderson St Piedmont  SC 29673,,
4,ANDERSON,55,Piercetown,North Pointe Elementary School B,3325 N Highway 81 Anderson  SC 29621,,
4,ANDERSON,121,Powdersville,Powdersville Middle Sch,135 Hood Rd Greenville  SC 29611,,
4,ANDERSON,57,Rock Mill,Williford Fire Station,3738 Hwy 187 S Anderson  SC 29626,,
4,ANDERSON,58,Rock Spring,Rock Spring Fire Station,135 Hwy 413 Belton  SC 29627,,
4,ANDERSON,61,Shirley's Store,Ebenezer Fire Station,1416 Due West Hwy Anderson  SC 29621,,
4,ANDERSON,62,Simpsonville,Oak Grove Baptist Church Fellowship Hall,802 Old River Rd Piedmont  SC 29673,,
4,ANDERSON,165,South Fant,South Fant School of Early Education,1700 S Fant St Anderson  SC 29624,,
4,ANDERSON,63,Starr,Starr Fire Sta,7715 Hwy 81 S Starr  SC 29684,,
4,ANDERSON,64,Three and Twenty,Three & Twenty Fire Sta,1301 Three & Twenty Rd Easley  SC 29642,,
4,ANDERSON,65,Toney Creek,Shady Grove Bpt Ch Soc Hl,1201 Shady Grove Rd Belton  SC 29627,,
4,ANDERSON,67,Town Creek,T L Hanna High B,2600 Highway 81 N Anderson  SC 29621,,
4,ANDERSON,66,Townville,Townville Baptist Church,8816 Hwy 24 Townville  SC 29689,,
4,ANDERSON,86,Varennes,Varennes Academy Of Comm,1820 Hwy 29 S Anderson  SC 29624,,
4,ANDERSON,68,West Pelzer,West Pelzer Fire Dept,101 Main St Pelzer  SC 29669,,
4,ANDERSON,69,West Savannah,Starr-Iva Middle School,1034 Rainey Rd Starr  SC 29684,,
4,ANDERSON,70,White Plains,White Plains Comm Center,7431 Midway Rd Pelzer  SC 29669,,
4,ANDERSON,71,Williamston,Palmetto Middle School,803 N Hamilton St Williamston  SC 29697,,
4,ANDERSON,72,Williamston Mill,Calvary Baptist Church,10 S Academy St Williamston  SC 29697,,
4,ANDERSON,73,Wright's School,Wright Elementary School,1136 Wright School Rd Belton  SC 29627,,
5,BAMBERG,999,Barrier Free,Voter Registration Office,1234 North St Bamberg  SC 29003,,
5,BAMBERG,1,Colston,Colston Fire Dept,6785 Colston Rd Bamberg  SC 29003,,
5,BAMBERG,4,East Denmark,Brooker Center,19 Maple Ave Denmark  SC 29042,,
5,BAMBERG,2,Edisto,Edisto Fire Station,4532 Edisto River Rd Branchville  SC 29432,,
5,BAMBERG,3,Ehrhardt,Ehrhardt Town Hall,13704 Broxton Bridge Rd Ehrhardt  SC 29081,,
5,BAMBERG,5,Govan,Govan Fire Department,20920 Ehrhardt Rd Olar  SC 29843,,
5,BAMBERG,6,Hightower's Mill,Old Train Depot,18748 Heritage Hwy Denmark  SC 29042,,
5,BAMBERG,7,Hunter's Chapel,Hunters Chapel Fire Dept,6313 Farrells Rd Branchville  SC 29432,,
5,BAMBERG,8,Kearse,Ehrhardt Town Hall,13704 Broxton Bridge Rd Ehrhardt  SC 29081,,
5,BAMBERG,9,Little Swamp,Little Swamp Cmt Ctr,16589 Hunters Chapel Rd Smoaks  SC 29481,,
5,BAMBERG,13,North Bamberg,Bamberg City Civic Center,2477 Main Hwy Bamberg  SC 29003,,
5,BAMBERG,10,Olar,Olar Town Hall,14978 Low Country Hwy Olar  SC 29843,,
5,BAMBERG,11,South Bamberg,Kearse Agricultural Bldg,847 Calhoun St Bamberg  SC 29003,,
5,BAMBERG,12,West Denmark,Old Train Depot,18748 Heritage Hwy Denmark  SC 29042,,
6,BARNWELL,1,Barnwell 1,National Guard Armory,10233 Marlboro Ave Barnwell  SC 29812,,
6,BARNWELL,2,Barnwell 2,National Guard Armory,10233 Marlboro Ave Barnwell  SC 29812,,
6,BARNWELL,3,Barnwell 3,National Guard Armory,10233 Marlboro Ave Barnwell  SC 29812,,
6,BARNWELL,4,Barnwell 4,National Guard Armory,10233 Marlboro Ave Barnwell  SC 29812,,
6,BARNWELL,999,Barrier Free,Voter Registration Office,367 Fuldner Rd Barnwell  SC 29812,,
6,BARNWELL,5,Blackville 1,Blackvi Community Center,19464 Solomon Blatt Ave Blackville  SC 29817,,
6,BARNWELL,6,Blackville 2,Blackvi Community Center,19464 Solomon Blatt Ave Blackville  SC 29817,,
6,BARNWELL,7,Elko,Elko Fire Dept,10077 US Highway 78 Elko  SC 29826,,
6,BARNWELL,8,Friendship,Friendship Fire Station,3391 Green Branch Road Barnwell  SC 29812,,
6,BARNWELL,10,Healing Springs,Blackvi Community Center,19464 Solomon Blatt Ave Blackville  SC 29817,,
6,BARNWELL,11,Hilda,Hilda Town Hall,35 Railroad Avenue Barnwell  SC 29812,,
6,BARNWELL,9,Kline,Kline Town Hall,1031 Kings Ave Barnwell  SC 29812,,
6,BARNWELL,12,Snelling,Snelling Town Hall,71 Morris St Barnwell  SC 29812,,
6,BARNWELL,13,Williston 1,Williston Town Hall,13112 Main Street Williston  SC 29853,,
6,BARNWELL,14,Williston 2,Williston Town Hall,13112 Main Street Williston  SC 29853,,
6,BARNWELL,15,Williston 3,Williston Town Hall,13112 Main Street Williston  SC 29853,,
7,BEAUFORT,999,Barrier Free,Barrier Free,15 John Galt Rd Beaufort  SC 29906,,
7,BEAUFORT,101,Beaufort 1,Charles L. Brown Activity Center,1001 Hamar St Beaufort  SC 29902,,
7,BEAUFORT,102,Beaufort 2,Charles L. Brown Activity Center,1001 Hamar St Beaufort  SC 29902,,
7,BEAUFORT,103,Beaufort 3,Charles L. Brown Activity Center,1001 Hamar St Beaufort  SC 29902,,
7,BEAUFORT,300,Belfair,Belfair Fitness & Sports Center,1 Union Ct Bluffton  SC 29910,,
7,BEAUFORT,301,Bluffton 1A,Bluffton Library,120 Palmetto Way Bluffton  SC 29910,,
7,BEAUFORT,302,Bluffton 1B,Bluffton Library,120 Palmetto Way Bluffton  SC 29910,,
7,BEAUFORT,303,Bluffton 1C,Bluffton Library,120 Palmetto Way Bluffton  SC 29910,,
7,BEAUFORT,304,Bluffton 1D,Rotary Community Ctr @Oscar Frazier Park,11 Recreation Ct Bluffton  SC 29910,,
7,BEAUFORT,305,Bluffton 2A,Rotary Community Ctr @Oscar Frazier Park,11 Recreation Ct Bluffton  SC 29910,,
7,BEAUFORT,306,Bluffton 2B,Buckwalter Recreation Center,905 Buckwalter Pkwy Bluffton  SC 29910,,
7,BEAUFORT,307,Bluffton 2C,Pritchardville Elementary School,9447 Evan Way Bluffton  SC 29910,,
7,BEAUFORT,314,Bluffton 2D,Pritchardville Elementary School,9447 Evan Way Bluffton  SC 29910,,
7,BEAUFORT,315,Bluffton 2E,Rotary Community Ctr @Oscar Frazier Park,11 Recreation Ct Bluffton  SC 29910,,
7,BEAUFORT,309,Bluffton 3,Bluffton Recreation Center Gymnasium,61 Ulmer Rd # A Bluffton  SC 29910,,
7,BEAUFORT,310,Bluffton 4A,St. Gregory the Great Parish Life Center,32 Saint Gregory Dr Bluffton  SC 29909,,
7,BEAUFORT,311,Bluffton 4B,Buckwalter Recreation Center,905 Buckwalter Pkwy Bluffton  SC 29910,,
7,BEAUFORT,312,Bluffton 4C,Buckwalter Recreation Center,905 Buckwalter Pkwy Bluffton  SC 29910,,
7,BEAUFORT,317,Bluffton 4D,Buckwalter Recreation Center,905 Buckwalter Pkwy Bluffton  SC 29910,,
7,BEAUFORT,313,Bluffton 5A,St. Gregory the Great Parish Life Center,32 Saint Gregory Dr Bluffton  SC 29909,,
7,BEAUFORT,318,Bluffton 5B,St. Gregory the Great Parish Life Center,32 Saint Gregory Dr Bluffton  SC 29909,,
7,BEAUFORT,110,Burton 1A,Burton Wells Recreation Senior Center,1 Middleton Rec Dr Beaufort  SC 29906,,
7,BEAUFORT,111,Burton 1B,Robert Smalls International Academy,43 W K Alston Dr Beaufort  SC 29906,,
7,BEAUFORT,112,Burton 1C,Joseph S. Shanklin Elementary School,121 Morrall Dr Beaufort  SC 29906,,
7,BEAUFORT,179,Burton 1D,Joseph S. Shanklin Elementary School,121 Morrall Dr Beaufort  SC 29906,,
7,BEAUFORT,113,Burton 2A,Community Bible Church,638 Parris Island Gtwy Beaufort  SC 29906,,
7,BEAUFORT,114,Burton 2B,Community Bible Church,638 Parris Island Gtwy Beaufort  SC 29906,,
7,BEAUFORT,115,Burton 2C,Love House Ministries,423 Parris Island Gtwy Beaufort  SC 29906,,
7,BEAUFORT,116,Burton 3,Robert Smalls International Academy,43 W K Alston Dr Beaufort  SC 29906,,
7,BEAUFORT,120,Chechessee 1,Thomas C. Barnwell Administrative Bldg,721 Okatie Hwy Okatie  SC 29909,,
7,BEAUFORT,121,Chechessee 2,Church of the Palms,1425 Okatie Hwy Okatie  SC 29909,,
7,BEAUFORT,160,Dale Lobeco,James J. Davis Early Childhood Center,354 Keans Neck Rd Seabrook  SC 29940,,
7,BEAUFORT,200,Daufuskie,Jane Hamilton School,44 Old Haig Point Rd Daufuskie Island  SC 29915,,
7,BEAUFORT,222,Hilton Head 10,Grace Community Church,450 Spanish Wells Rd Hilton Head Island  SC 29926,,
7,BEAUFORT,223,Hilton Head 11,St. Luke's Church,50 Pope Ave Hilton Head Isl  SC 29928,,
