Textbox97,CountyCode,CountyName,PrecinctCode,PrecinctName,PollingLocationName,PollingLocationAddress,Coordinates,Status
County: 02 - AIKEN,2,AIKEN,34,Shiloh,J D Lever Elementary,"2404 Columbia Hwy N
Aiken SC 29805","33.645644,-81.674592",
County: 02 - AIKEN,2,AIKEN,35,Six Points No. 35,USC A Convocation Center,"2049 Champion Way
Aiken SC 29801","33.574774,-81.773946",
County: 02 - AIKEN,2,AIKEN,36,Tabernacle,Couchton Fire Subst No. 2,"4765 Wagener Rd
Wagener SC 29164","33.583648,-81.505263",
County: 02 - AIKEN,2,AIKEN,37,Talatha,New Ellen. Middle Sch,"814 S Main St
New Ellenton SC 29809","33.400131,-81.685293",
County: 02 - AIKEN,2,AIKEN,38,Vaucluse,1St   Bapt Ch Vaucluse,"2 Church St
Aiken SC 29801","33.613228,-81.807929",
County: 02 - AIKEN,2,AIKEN,39,Wagener,Wagener Volunteer Fire Dept,"299 Park St NE
Wagener SC 29164","33.649115,-81.35565",
County: 02 - AIKEN,2,AIKEN,40,Ward,Jerusalem Baptist Church,"4185 Columbia Hwy N.
Ridge Spring SC 29129","33.763284,-81.642615",
County: 02 - AIKEN,2,AIKEN,41,Warrenville,1St Bapt Ch Warrenville,"1012 Aiken Blvd
Warrenville SC 29851","33.551848,-81.804498",
County: 02 - AIKEN,2,AIKEN,42,White Pond,White Pond Community Ctr.,"321 White Pond Rd
Williston SC 29853","33.427096,-81.473977",
County: 02 - AIKEN,2,AIKEN,43,Windsor,Oakwood-Windsor Elementary School,"3773 Charleston Hwy
Aiken SC 29801","33.516102,-81.574989",
County: 02 - AIKEN,2,AIKEN,44,Belvedere No. 44,Belvedere Elementary School *temp*,"201 Rhomboid Pl
Belvedere SC 29841","33.527702,-81.937204",
County: 02 - AIKEN,2,AIKEN,45,Misty Lakes,Mims Grove Baptist Church,"843 Ridge Rd
North Augusta SC 29860","33.58282,-81.913612",
County: 02 - AIKEN,2,AIKEN,46,Six Points No. 46,Ctr. of Innovative Learning@ Pinecrest,"1050 Pinecrest Ave
Aiken SC 29801","33.573895,-81.728276",
County: 02 - AIKEN,2,AIKEN,47,Aiken No. 47,Odell Weeks Ctr,"1700 Whiskey Rd
Aiken SC 29803","33.48113,-81.695257",
County: 02 - AIKEN,2,AIKEN,48,Hammond,New Beginning Ministries,"317 Williston Rd
Beech Island SC 29842","33.41066,-81.831857",
County: 02 - AIKEN,2,AIKEN,49,Willow Sprgs,Clearwater Elem Sch,"4552 Augusta Rd
Beech Island SC 29842","33.495725,-81.896408",
County: 02 - AIKEN,2,AIKEN,50,Breezy Hill,Christian Heritage Church,"285 Ascauga Lake Rd
Graniteville SC 29829","33.569493,-81.822714",
County: 02 - AIKEN,2,AIKEN,51,Midland Valley No. 51,Aiken County Career Center,"2455 Jefferson Davis Hwy
Warrenville SC 29851","33.528556,-81.843623",
County: 02 - AIKEN,2,AIKEN,52,Levels No. 52,Kennedy Middle School,"274 E Pine Log Rd
Aiken SC 29803","33.505914,-81.695053",
County: 02 - AIKEN,2,AIKEN,53,Hollow Creek,Mercy,"2700 Whiskey Rd
Aiken SC 29803","33.503201,-81.706402",
County: 02 - AIKEN,2,AIKEN,54,North Augusta No. 54,N Augusta Middle School,"725 Old Edgefield Rd
North Augusta SC 29841","33.547927,-81.938764",
County: 02 - AIKEN,2,AIKEN,55,North Augusta No. 55,Holy Trinity Lutheran Ch,"1002 Carolina Ave
North Augusta SC 29841","33.501639,-81.969712",
County: 02 - AIKEN,2,AIKEN,56,Couchton,Aiken Electric Coop,"2790 Wagener Rd
Aiken SC 29801","33.548898,-81.654652",
County: 02 - AIKEN,2,AIKEN,57,Redds Branch,E. Aiken School Of the Arts,"223 Old Wagener Rd
Aiken SC 29801","33.551609,-81.674322",
County: 02 - AIKEN,2,AIKEN,58,Fox Creek No. 58,N. Aug. Public Safety,"501 W Five Notch Rd
North Augusta SC 29860","33.554644,-81.956608",
County: 02 - AIKEN,2,AIKEN,59,Pine Forest,Pine Forest Bpt Ch Annex,"2829 Pine Log Rd
Warrenville SC 29851","33.50066,-81.816103",
County: 02 - AIKEN,2,AIKEN,60,Gem Lakes No. 60,Warrenville Elementary,"569 Howlandville Rd
Warrenville SC 29851","33.524272,-81.785852",
County: 02 - AIKEN,2,AIKEN,61,Silver Bluff,Silver Bluff High Sch.,"64 Desoto Dr
Aiken SC 29803","33.39479,-81.759582",
County: 02 - AIKEN,2,AIKEN,62,Belvedere No. 62,1St Baptist Ch Belvedere,"421 Edgefield Rd
North Augusta SC 29841","33.533678,-81.943236",
County: 02 - AIKEN,2,AIKEN,63,Ascauga Lake,Mt Transfiguration Bap Ch,"350 Blanchard Rd
North Augusta SC 29841","33.54963,-81.90939",
County: 02 - AIKEN,2,AIKEN,64,Cedar Creek No. 64,Cedar Creek Church,"3001 Banks Mill Rd SE
Aiken SC 29803","33.490171,-81.669079",
County: 02 - AIKEN,2,AIKEN,65,Sleepy Hollow No. 65,St Aug Of Cant Epis Ch,"1630 Silver Bluff Rd
Aiken SC 29803","33.492628,-81.754922",
County: 02 - AIKEN,2,AIKEN,66,Hitchcock No.66,St Paul Lutheran Church,"961 Trail Ridge Rd
Aiken SC 29803","33.535925,-81.749117",
County: 02 - AIKEN,2,AIKEN,67,North Augusta No.67,Riverview Pk Act Bldg,"100 Riverview Park Dr
North Augusta SC 29841","33.499719,-81.986454",
County: 02 - AIKEN,2,AIKEN,68,North Augusta No. 68,Mossy Creek Elem School,"421 W Five Notch Rd
North Augusta SC 29841","33.538259,-81.961635",
County: 02 - AIKEN,2,AIKEN,69,Anderson Pond No. 69,Harbor Chase,"1385 Silver Bluff Rd
Aiken SC 29803","33.506593,-81.740531",
County: 02 - AIKEN,2,AIKEN,70,Sandstone No.70,Columbus Club,"1003 Spaulding Dr
Aiken SC 29803","33.513458,-81.726249",
County: 02 - AIKEN,2,AIKEN,71,Midland Valley No. 71,Aiken Technical College,"2276 Jefferson Davis Hwy Rm 1300
Graniteville SC 29829","33.533282,-81.841711",
County: 02 - AIKEN,2,AIKEN,72,Levels No.72,Aiken Electric Coop,"2790 Wagener Rd
Aiken SC 29801","33.548898,-81.654652",
County: 02 - AIKEN,2,AIKEN,73,Fox Creek No. 73,Grace Fellowship Church,"507 W Five Notch Rd
North Augusta SC 29860","33.554644,-81.956608",
County: 02 - AIKEN,2,AIKEN,74,Belvedere No. 74,1St Baptist Ch Belvedere,"421 Edgefield Rd
North Augusta SC 29841","33.533678,-81.943236",
County: 02 - AIKEN,2,AIKEN,75,South Aiken No. 75,Mt Anna Baptist Church - Temporary,"2612 Banks Mill Rd
Aiken SC 29803","33.495369,-81.676972",
County: 02 - AIKEN,2,AIKEN,76,South Aiken No. 76,Living Hope,"2550 Old Dominion Rd
Aiken SC 29803","33.490561,-81.696657",
County: 02 - AIKEN,2,AIKEN,77,Gem Lakes No. 77,Aiken Elementary School,"2050 Pine Log Rd
Aiken SC 29803","33.526999,-81.767332",
County: 02 - AIKEN,2,AIKEN,78,Montmorenci No. 78,Montmorenci First Bapt Ch,"44 Old Barnwell Rd
Aiken SC 29803","33.524048,-81.633963",
County: 02 - AIKEN,2,AIKEN,79,Sandstone No. 79,Columbus Club,"1003 Spaulding Dr
Aiken SC 29803","33.513458,-81.726249",
County: 02 - AIKEN,2,AIKEN,80,North Augusta No. 80,Fairview Presbyterian Church,"1101 Carolina Ave
North Augusta SC 29841","33.503593,-81.969461",
County: 02 - AIKEN,2,AIKEN,81,Hammond No. 81,New Beginning Ministries,"317 Williston Rd
Beech Island SC 29842","33.41066,-81.831857",
County: 02 - AIKEN,2,AIKEN,82,Windsor No. 82,Oakwood-Windsor Elementary School,"3773 Charleston Hwy
Aiken SC 29801","33.516102,-81.574989",
County: 02 - AIKEN,2,AIKEN,83,Levels No 83,Kennedy Middle School,"274 E Pine Log Rd
Aiken SC 29803","33.505914,-81.695053",
County: 02 - AIKEN,2,AIKEN,84,Ascauga Lake No. 84,Cornerstone *temp*,"836 Edgefield Rd
North Augusta SC 29841","33.551328,-81.937855",
County: 02 - AIKEN,2,AIKEN,999,Barrier Free,Reg And Elections Office,"1930 University Pkwy Ste 1200
Aiken SC 29801","33.585165,-81.726829",
County: 03 - ALLENDALE,3,ALLENDALE,1,Allendale No. 1,Brandt Building,"398 Barnwell Hwy
Allendale SC 29810","33.024907,-81.312264",
County: 03 - ALLENDALE,3,ALLENDALE,2,Allendale No. 2,Allendale Community Center,"212 Flat St E
Allendale SC 29810","33.005854,-81.306308",
County: 03 - ALLENDALE,3,ALLENDALE,3,Fairfax No. 1,Fairfax Fire Dept,"732 Charleston Ave
Fairfax SC 29827","32.961191,-81.240633",
County: 03 - ALLENDALE,3,ALLENDALE,4,Fairfax No. 2,Mini Mall,"132 Sumter Ave S
Fairfax SC 29827","32.958022,-81.237592",
County: 03 - ALLENDALE,3,ALLENDALE,5,Martin,Martin Fire Department,"175 Chert Quarry Rd
Martin SC 29836","32.999229,-81.473265",
County: 03 - ALLENDALE,3,ALLENDALE,6,Sycamore,Sycamore Town Hall,"226 E Main St
Sycamore SC 29846","33.036622,-81.223121",
County: 03 - ALLENDALE,3,ALLENDALE,7,Ulmer,Ulmer Town Hall,"148 Ulmer Rd
Ulmer SC 29849","33.09398,-81.20432",
County: 03 - ALLENDALE,3,ALLENDALE,8,Woods,Allendale Adult Education School,"1843 Main St S
Allendale SC 29810","33.016995,-81.298682",
County: 03 - ALLENDALE,3,ALLENDALE,999,Barrier Free,Voter Reg.& Elections Off,"158 McNair St
Allendale SC 29810","33.00793,-81.30844",
County: 04 - ANDERSON,4,ANDERSON,9,Appleton-Equinox,Taylor Mem Church Gym,"711 Glenn St
Anderson SC 29625","34.51122,-82.664149",
County: 04 - ANDERSON,4,ANDERSON,10,Barker's Creek - McAdams,Barkers Creek Bapt Church,"3207 Hwy 252
Honea Path SC 29654","34.435984,-82.445649",
County: 04 - ANDERSON,4,ANDERSON,11,Belton,First Baptist Church,"105 Brown Ave
Belton SC 29627","34.520619,-82.494599",
County: 04 - ANDERSON,4,ANDERSON,12,Broadview,Johnson-Brdview Comm Ctr,"114 Melody Trl
Anderson SC 29621","34.466765,-82.608106",
County: 04 - ANDERSON,4,ANDERSON,13,Bishop's Branch,Refuge Baptist Church,"219 Refuge Church Rd
Central SC 29630","34.689047,-82.750121",
County: 04 - ANDERSON,4,ANDERSON,15,Bowling Green,Whitefield Fire Station,"4000 Hwy 29N
Belton SC 29627","34.492422,-82.569083",
County: 04 - ANDERSON,4,ANDERSON,16,Broadway,Blue Ridge Baptist Church,"1340 Blue Ridge Ave
Belton SC 29627","34.514219,-82.550276",
County: 04 - ANDERSON,4,ANDERSON,17,Brushy Creek,Wren Middle School,"1010 Wren School Rd
Piedmont SC 29673","34.725073,-82.545185",
County: 04 - ANDERSON,4,ANDERSON,18,Cedar Grove,Cedar Grove Elem School,"107 Melvin Ln
Williamston SC 29697","34.592742,-82.496465",
County: 04 - ANDERSON,4,ANDERSON,19,Centerville Station A,Centerville Elem School,"1529 Whitehall Rd
Anderson SC 29625","34.527998,-82.707539",
County: 04 - ANDERSON,4,ANDERSON,20,Chiquola Mill,Honea Path Elementary Sch,"806 E Greer St
Honea Path SC 29654","34.445051,-82.381397",
County: 04 - ANDERSON,4,ANDERSON,21,Concrete,Concrete Primary School,"535 Powdersville Main
Easley SC 29642","34.781711,-82.489814",
County: 04 - ANDERSON,4,ANDERSON,23,Craytonville,Craytonville Fire Station,"1118 Trail Road
Belton SC 29627","34.453847,-82.479694",
County: 04 - ANDERSON,4,ANDERSON,24,Denver-Sandy Springs,Sandy Sprgs Fire Station,"740 Blackman Rd
Pendleton SC 29670","34.597239,-82.730652",
County: 04 - ANDERSON,4,ANDERSON,25,Edgewood Station A,The Carpenter's Church,"1610 Pearman Dairy Rd
Anderson SC 29625","34.536294,-82.697765",
County: 04 - ANDERSON,4,ANDERSON,27,Five Forks,Mountain Spring Bapt Church East Campus,"1109 Mountain Springs Rd
Anderson SC 29621","34.60882,-82.677221",
County: 04 - ANDERSON,4,ANDERSON,28,Flat Rock,Grace Baptist Church,"6707 Highway 81 S
Starr SC 29684","34.401667,-82.687004",
County: 04 - ANDERSON,4,ANDERSON,29,Fork No. 1,Oakdale Baptist Church,"6724 Hwy 24
Townville SC 29689","34.532002,-82.845262",
County: 04 - ANDERSON,4,ANDERSON,30,Fork No. 2,Double Sprgs Fire Station,"2601 Old Dobbins Bridge Rd
Townville SC 29689","34.50406,-82.910206",
County: 04 - ANDERSON,4,ANDERSON,31,Friendship,Friendship Fire Station,"1938 Abercombie Rd
Honea Path SC 29654","34.4465,-82.39151",
County: 04 - ANDERSON,4,ANDERSON,32,Gluck Mill,Homeland Park Elem School,"3519 Wilmont St
Anderson SC 29624","34.462387,-82.656445",
County: 04 - ANDERSON,4,ANDERSON,33,Green Pond Station A,New Prospect Ch Fellow Bl,"2503 Whitehall Rd
Anderson SC 29625","34.517123,-82.738821",
County: 04 - ANDERSON,4,ANDERSON,35,Hall,Flat Rock-Bowen Fire Sta,"3135 Airline Rd
Anderson SC 29624","34.403171,-82.62278",
County: 04 - ANDERSON,4,ANDERSON,36,Hammond School,Midway Elementary School,"1221 Harriett Cir
Anderson SC 29621","34.559617,-82.6157",
County: 04 - ANDERSON,4,ANDERSON,37,High Point,Belton-Honea Path Hi Sch,"11000 Belton Honea Path Hwy
Honea Path SC 29654","34.474061,-82.443689",
County: 04 - ANDERSON,4,ANDERSON,38,Homeland Park,Homeland Park Elem School,"3519 Wilmont St
Anderson SC 29624","34.462387,-82.656445",
County: 04 - ANDERSON,4,ANDERSON,39,Honea Path,Honea Path Middle School,"107 Brock Ave
Honea Path SC 29654","34.448413,-82.3985",
County: 04 - ANDERSON,4,ANDERSON,40,Hopewell,T.L. Hanna High,"2600 Highway 81 N
Anderson SC 29621","34.567233,-82.623398",
County: 04 - ANDERSON,4,ANDERSON,41,Iva,Iva Fire Station,"9711 Hwy 81 S
Iva SC 29655","34.302505,-82.665404",
County: 04 - ANDERSON,4,ANDERSON,42,Jackson Mill,Iva Civic Center,"206 W Church St
Iva SC 29655","34.306216,-82.666564",
County: 04 - ANDERSON,4,ANDERSON,43,LaFrance,La France Church of God,"273 Old Anderson Rd
Pendleton SC 29670","34.615908,-82.766978",
County: 04 - ANDERSON,4,ANDERSON,45,Melton,Mount Able Baptist Church,"130 Mt. Able Church Rd
Pendleton SC 29670","34.659796,-82.644247",
County: 04 - ANDERSON,4,ANDERSON,46,Mount Tabor,Zion United Methodist Ch,"5708 Hwy 187
Anderson SC 29625","34.567323,-82.806597",
County: 04 - ANDERSON,4,ANDERSON,47,Mountain Creek,Gethsemane Baptist Temple,"6116 Highway 81 S
Starr SC 29684","34.41725,-82.677207",
County: 04 - ANDERSON,4,ANDERSON,49,Neal's Creek,Welfare Baptist Church,"2106 Bolt Dr
Belton SC 29627","34.487885,-82.57536",
County: 04 - ANDERSON,4,ANDERSON,50,North Pointe,North Pointe Elementary School,"3325 N Highway 81
Anderson SC 29621","34.581635,-82.623433",
County: 04 - ANDERSON,4,ANDERSON,51,Pelzer,ALIVE Wesleyan Church,"2 Wesleyan Dr
Pelzer SC 29669","34.642231,-82.463837",
County: 04 - ANDERSON,4,ANDERSON,53,Pendleton,Pendleton Elementary Sch,"902 E. Queen St.
Pendleton SC 29670","34.655426,-82.768197",
County: 04 - ANDERSON,4,ANDERSON,54,Piedmont,Piedmont Wesleyan Church,"506 Anderson St
Piedmont SC 29673","34.700824,-82.471603",
County: 04 - ANDERSON,4,ANDERSON,55,Piercetown,The Club at Brookstone,"100 River Club Dr
Anderson SC 29621","34.623105,-82.621658",
County: 04 - ANDERSON,4,ANDERSON,57,Rock Mill,Williford Fire Station,"3738 Hwy 187 S
Anderson SC 29626","34.426569,-82.796041",
County: 04 - ANDERSON,4,ANDERSON,58,Rock Spring,Rock Spring Fire Station,"135 Hwy 413
Belton SC 29627","34.497112,-82.52387",
County: 04 - ANDERSON,4,ANDERSON,61,Shirley's Store,Ebenezer Fire Station,"1416 Due West Hwy
Anderson SC 29621","34.39893,-82.55721",
County: 04 - ANDERSON,4,ANDERSON,62,Simpsonville,Oak Grove Baptist Church Fellowship Hall,"802 Old River Rd
Piedmont SC 29673","34.689462,-82.478889",
County: 04 - ANDERSON,4,ANDERSON,63,Starr,Starr Fire Sta,"7715 Hwy 81 S
Starr SC 29684","34.37488,-82.69351",
County: 04 - ANDERSON,4,ANDERSON,64,Three and Twenty,Three & Twenty Fire Sta,"1301 Three & Twenty Rd
Easley SC 29642","34.790129,-82.593723",
County: 04 - ANDERSON,4,ANDERSON,65,Toney Creek,Shady Grove Bpt Ch Soc Hl,"1201 Shady Grove Rd
Belton SC 29627","34.53685,-82.436067",
County: 04 - ANDERSON,4,ANDERSON,66,Townville,Townville Baptist Church,"8816 Hwy 24
Townville SC 29689","34.565078,-82.897232",
County: 04 - ANDERSON,4,ANDERSON,67,Town Creek,Montessori School of Anderson,"280 Sam McGee Rd
Anderson SC 29621","34.562486,-82.637815",
County: 04 - ANDERSON,4,ANDERSON,68,West Pelzer,West Pelzer Fire Dept,"101 Main St
Pelzer SC 29669","34.646882,-82.481143",
County: 04 - ANDERSON,4,ANDERSON,69,West Savannah,Starr-Iva Middle School,"1034 Rainey Rd
Starr SC 29684","34.382767,-82.726114",
County: 04 - ANDERSON,4,ANDERSON,70,White Plains,White Plains Comm Center,"7431 Midway Rd
Pelzer SC 29669","34.672769,-82.533223",
County: 04 - ANDERSON,4,ANDERSON,71,Williamston,Palmetto Middle School,"803 N Hamilton St
Williamston SC 29697","34.630896,-82.478647",
County: 04 - ANDERSON,4,ANDERSON,72,Williamston Mill,Calvary Baptist Church,"10 S Academy St
Williamston SC 29697","34.614824,-82.486692",
County: 04 - ANDERSON,4,ANDERSON,73,Wright's School,Wright Elementary School,"1136 Wright School Rd
Belton SC 29627","34.398845,-82.528232",
County: 04 - ANDERSON,4,ANDERSON,74,Anderson 1/1,Whitehall Elem School,"702 Whitehall Rd
Anderson SC 29625","34.530317,-82.679204",
County: 04 - ANDERSON,4,ANDERSON,75,Anderson 1/2,Concord Elementary School,"2701 Calrossie Rd
Anderson SC 29621","34.536147,-82.656985",
County: 04 - ANDERSON,4,ANDERSON,76,Anderson 2/1,Holy Trinity Lutheran Church,"209 Broad St
Anderson SC 29621","34.516645,-82.651902",
County: 04 - ANDERSON,4,ANDERSON,77,Anderson 2/2,Calhoun Academy of the Arts,"1520 E Calhoun St
Anderson SC 29621","34.523467,-82.626171",
County: 04 - ANDERSON,4,ANDERSON,78,Anderson 3/1,Anderson County Library,"300 N McDuffie St
Anderson SC 29621","34.506534,-82.648403",
County: 04 - ANDERSON,4,ANDERSON,79,Anderson 3/2,Nevitt Forest Comm School,"1401 Bolt Dr
Anderson SC 29621","34.493554,-82.602396",
County: 04 - ANDERSON,4,ANDERSON,80,Anderson 4/1,Anderson V Career Campus,"1225 S McDuffie St
Anderson SC 29624","34.494321,-82.645871",
County: 04 - ANDERSON,4,ANDERSON,81,Anderson 4/2,Nevitt Forest Comm School,"1401 Bolt Dr
Anderson SC 29621","34.493554,-82.602396",
County: 04 - ANDERSON,4,ANDERSON,83,Anderson 5/B,Southwood Academy of the Arts,"1110 Southwood St
Anderson SC 29624","34.490552,-82.662288",
County: 04 - ANDERSON,4,ANDERSON,84,Anderson 6/1,Trinity United Methodist,"1809 N Main St
Anderson SC 29621","34.520287,-82.656381",
County: 04 - ANDERSON,4,ANDERSON,85,Anderson 6/2,Southwood Academy of the Arts,"1110 Southwood St
Anderson SC 29624","34.490552,-82.662288",
County: 04 - ANDERSON,4,ANDERSON,86,Varennes,Varennes Academy Of Comm,"1820 Hwy 29 S
Anderson SC 29624","34.469716,-82.68217",
County: 04 - ANDERSON,4,ANDERSON,87,Lakeside,New Prospect Elem School,"126 New Prospect Church Rd
Anderson SC 29625","34.507115,-82.704413",
County: 04 - ANDERSON,4,ANDERSON,91,Centerville Station B,Centerville Elem School,"1529 Whitehall Rd
Anderson SC 29625","34.527998,-82.707539",
